                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.97491,                0.38452,                 1.2199,                 0.9946,                0.99517,                0.99391,                0.74316,                 1.0445,                0.34477,                 1.3516,               0.004258,               0.004258,               0.004258
                     61,                0.98665,                0.38843,                  1.222,                0.99579,                0.99313,                0.99362,                0.74319,                 1.0456,                 0.3441,                 1.3487,               0.004159,               0.004159,               0.004159
                     62,                0.96881,                0.38329,                 1.2085,                0.99579,                0.99369,                0.99395,                0.74683,                  1.041,                0.34368,                  1.349,                0.00406,                0.00406,                0.00406
                     63,                0.97542,                0.38556,                 1.2161,                 0.9943,                 0.9964,                0.99423,                0.74437,                  1.039,                0.34238,                 1.3476,               0.003961,               0.003961,               0.003961
                     64,                0.97082,                0.38464,                 1.2163,                0.99433,                 0.9964,                0.99468,                0.74515,                 1.0428,                0.34242,                 1.3531,               0.003862,               0.003862,               0.003862
                     65,                0.96472,                0.38213,                 1.2119,                0.99515,                 0.9952,                0.99439,                0.74598,                 1.0434,                0.34251,                 1.3484,               0.003763,               0.003763,               0.003763
                     66,                0.97354,                0.38117,                 1.2128,                 0.9958,                0.99475,                0.99403,                0.74942,                 1.0371,                0.34076,                 1.3462,               0.003664,               0.003664,               0.003664
                     67,                 0.9667,                 0.3831,                 1.2073,                0.99401,                0.99547,                0.99425,                0.74371,                 1.0452,                0.34008,                 1.3486,               0.003565,               0.003565,               0.003565
                     68,                0.96733,                0.37869,                 1.2088,                0.99448,                 0.9952,                0.99431,                0.74728,                 1.0366,                0.33833,                 1.3452,               0.003466,               0.003466,               0.003466
                     69,                0.95921,                0.37661,                 1.2112,                 0.9952,                0.99514,                0.99449,                  0.747,                 1.0396,                 0.3382,                 1.3458,               0.003367,               0.003367,               0.003367
                     70,                0.95545,                0.37132,                 1.2054,                0.99561,                  0.997,                0.99433,                0.74728,                 1.0416,                0.33571,                 1.3462,               0.003268,               0.003268,               0.003268
                     71,                0.95383,                0.37486,                 1.2027,                0.99581,                0.99692,                0.99436,                0.74888,                 1.0365,                 0.3358,                 1.3451,               0.003169,               0.003169,               0.003169
                     72,                0.95538,                0.37604,                 1.2066,                0.99401,                0.99587,                 0.9942,                 0.7497,                 1.0341,                0.33648,                 1.3452,                0.00307,                0.00307,                0.00307
                     73,                0.95662,                0.37499,                  1.199,                0.99626,                 0.9958,                0.99399,                0.74613,                  1.032,                0.33958,                 1.3451,               0.002971,               0.002971,               0.002971
