frame_number,vehicle_id,vehicle_bounding_box,license_plate_bounding_box,license_plate_bounding_box_accuracy,license_number,license_number_accuracy
22,1.0,[323.3019775371861 165.3967297593922 1021.029809028422 698.9771725744343],[488.1248474121094 519.1241455078125 667.050537109375 572.2666625976562],0.7604787349700928,29A33185,0.8593804625804472
23,1.0,[300.2921263102935 165.04351380279536 1008.332117368768 706.3607087261134],[466.56829833984375 522.49951171875 645.7855224609375 576.3242797851562],0.7646932005882263,29A33185,0.7316903428057154
24,1.0,[279.4935631906589 162.95440626222614 998.3900261593367 712.654313687746],[448.2568359375 524.8356323242188 629.4917602539062 579.72314453125],0.7728958129882812,29A33185,0.7331172360436837
25,1.0,[257.27452821049155 160.5500402283438 988.4208925989997 717.7252261866327],[426.8074035644531 527.7962036132812 610.911865234375 582.3037719726562],0.7755553722381592,29I33185,0.7684697052217342
26,1.0,[233.60227975781066 155.86178756858237 976.8826737659608 722.9605091680497],[405.6103820800781 529.267333984375 592.6165161132812 585.9371948242188],0.7696502804756165,29A33185,0.5302166805713557
27,1.0,[210.06597993488663 155.1548451248305 966.5363125031515 730.4659584364756],[382.4327697753906 533.3994140625 573.7716064453125 589.9715576171875],0.7612056732177734,29I33185,0.37555583488296596
28,1.0,[185.8040076251773 147.29296614726803 955.526080434503 734.5464895408286],[360.9106750488281 536.22509765625 555.1646118164062 593.2152099609375],0.7644681334495544,29A33185,0.488946150882555
29,1.0,[160.9051737218325 146.1737812730613 944.9509705562779 742.7486206821046],[337.0549621582031 539.8428955078125 535.0437622070312 596.9981689453125],0.7918890118598938,29N33185,0.24725665568697527
31,1.0,[110.22182147400679 139.87391781558728 923.2496680036894 756.7695134213716],[286.9143981933594 550.1248779296875 493.46954345703125 608.9053955078125],0.7786577343940735,29A33185,0.3178706215693538
32,1.0,[83.9425806985571 138.62823445839456 910.6953675420236 764.4589190764103],[263.52740478515625 552.7607421875 474.2731018066406 611.4469604492188],0.7789677381515503,29A33185,0.36784117163628577
33,1.0,[56.1367597615307 139.2296231103491 899.1776599855505 772.6650760362277],[237.1317901611328 557.8386840820312 449.5159606933594 615.2779541015625],0.7738509774208069,29A33185,0.6729720329603004
34,1.0,[24.208906062495885 137.72887968673365 885.6832479867937 779.6430285646143],[211.1484375 561.2750854492188 427.17425537109375 621.6517333984375],0.7766313552856445,29I33185,0.3973442657894871
35,1.0,[3.726809974715593 129.44243017924595 878.3993749532757 784.0562345431629],[183.0952606201172 568.6680908203125 402.49652099609375 627.2045288085938],0.7740926146507263,29A33185,0.6442132515415357
36,1.0,[-8.848088716811105 107.33223899235514 872.1428057029998 782.5589482706405],[153.0465087890625 569.9727783203125 379.0418701171875 632.765869140625],0.7806684970855713,29A33185,0.5356671702375227
37,1.0,[-16.33488799390551 95.12981403881321 865.0839496871008 787.4916627559605],[121.21467590332031 574.2864990234375 353.1290588378906 637.7448120117188],0.7816627621650696,29A33185,0.8218517326511612
38,1.0,[-20.77661213278992 94.18039179330327 856.9641526077612 799.4094433710711],[92.16055297851562 577.16455078125 323.6809387207031 641.1031494140625],0.7903689742088318,29I33185,0.37682245763902994
39,1.0,[-23.266123579167754 93.05116746219096 847.9465986998555 805.9281467626078],[57.037742614746094 581.4855346679688 296.75665283203125 647.673583984375],0.7928799390792847,29A33185,0.724457028836956
40,1.0,[-25.323815630809406 90.35438766933964 836.6698670330179 811.9363528607762],[24.33368682861328 586.613037109375 268.31854248046875 656.113037109375],0.7881156206130981,29A33185,0.9187756388793689
41,1.0,[-26.106601821059485 93.5644742343245 825.6620904061351 820.4448486872068],[0.0 590.796142578125 238.7259063720703 660.4935913085938],0.8013359904289246,29I33185,0.4110146053075903
79,66.0,[1197.0659366192067 180.84218406615085 1660.7788767961429 565.8810124342655],[1352.5504150390625 418.95391845703125 1470.05859375 457.67376708984375],0.7509129047393799,30A61735,0.46714684679699386
81,63.0,[1187.9894302923192 180.3775770735771 1656.4807391998463 570.8349397761644],[1342.2734375 422.5783996582031 1462.4810791015625 463.1274719238281],0.7254369854927063,30A61235,0.32373597013134453
83,66.0,[1171.0599629835315 176.3145598001982 1656.4155129172905 579.4158089101902],[1330.018310546875 426.1352233886719 1455.6763916015625 467.2921142578125],0.7273615002632141,30A61225,0.16759495038116584
84,66.0,[1162.6417366215387 174.88157207839149 1655.4161456865904 584.4543054692849],[1321.9998779296875 427.8108215332031 1451.1968994140625 469.6544494628906],0.7519832253456116,30A61235,0.5665741260334997
89,66.0,[1115.235670818577 164.8438390889973 1651.4117354503915 606.3483260210648],[1288.031494140625 435.4295959472656 1423.37939453125 481.0495910644531],0.7666236758232117,30A61235,0.25014231275103155
94,63.0,[1063.00608816861 151.50775422682867 1635.7840955854485 624.7513991789808],[1243.4439697265625 444.0971374511719 1391.251953125 493.4735412597656],0.7429425716400146,30A61235,0.4069645594985166
104,83.0,[923.4930581163126 116.45788267586192 1618.3508377030726 679.6125080595268],[1135.6600341796875 465.1626892089844 1315.400634765625 519.52099609375],0.7637854218482971,30A61235,0.5527893444722297
110,83.0,[799.5920446135113 91.17972084281962 1597.1321660060257 723.7129593856884],[1048.4044189453125 484.2745361328125 1254.850341796875 547.8375854492188],0.7928489446640015,30A61235,0.7834891358354356
116,90.0,[648.958332927654 57.063857205989564 1578.3359584657221 783.183006470616],[921.0543823242188 508.87115478515625 1164.5413818359375 582.459228515625],0.8093488812446594,30A61235,0.887666940561974
123,96.0,[391.83476736645275 7.411249278662183 1530.2212664847727 883.5994743171523],[700.94091796875 551.1901245117188 997.6007080078125 640.696044921875],0.8191882371902466,30A61235,0.2650495167292359
127,97.0,[161.41101213950594 -2.3847493469746723 1483.1225771006011 967.2582089412157],[509.896728515625 575.6630859375 850.4957885742188 677.73779296875],0.8238847851753235,30A61235,0.391566665715512
128,97.0,[102.26628414106199 -5.437548923708675 1475.0907066739915 988.3074955819193],[452.616943359375 584.6485595703125 807.9754028320312 689.2459716796875],0.8188684582710266,30A61235,0.3516722945148967
133,97.0,[-32.404015949729455 -2.5338319619097547 1437.7731605570013 1065.139234923563],[82.03829956054688 645.17431640625 526.0595703125 775.913818359375],0.8534151315689087,30A61235,0.2676116248788196
134,97.0,[-28.170025648698697 -5.1380253635232975 1453.467711052398 1070.2545838652086],[0.0 657.3737182617188 447.03662109375 800.9752807617188],0.82973313331604,30A61235,0.4282558582408136
274,6.0,[1106.3340715996933 3.06063268595031 1541.9059597625528 342.8969050686952],[1233.4207763671875 203.84458923339844 1346.1778564453125 238.84117126464844],0.7592037916183472,69A90108,0.1563146899215007
296,6.0,[904.7930332068624 3.4865307482936316 1482.7873301369557 429.5995084840988],[1058.6141357421875 249.60736083984375 1208.417724609375 295.048828125],0.7590826153755188,29A90101,0.5033612513334912
301,6.0,[838.3922972627639 5.020286125328909 1467.3328306729395 458.15179412575924],[1008.1417846679688 264.487548828125 1170.4500732421875 314.2340087890625],0.7780296206474304,29A60101,0.22195898019952642
312,6.0,[666.2091319822878 6.47502897324415 1435.649250238159 535.5125176283025],[857.6277465820312 303.5792541503906 1057.0408935546875 367.1280212402344],0.7859827876091003,29A90101,0.4596888660570225
326,6.0,[220.4062000691374 12.62569400028525 1285.980200580431 680.1816067073157],[447.51104736328125 374.3077697753906 719.920166015625 451.8639221191406],0.8004628419876099,29A90101,0.3722281539132197
327,6.0,[177.51654313596373 12.309506385125417 1271.7428526122474 692.1911390592722],[408.0911865234375 379.50750732421875 683.1985473632812 460.25225830078125],0.8037733435630798,29A90101,0.6612518879275768
330,6.0,[35.97476835117243 14.06224101118869 1220.7960690132268 734.297960380061],[258.94903564453125 397.04443359375 562.2584838867188 488.8239440917969],0.8083881139755249,29A90101,0.5775804472598532
331,6.0,[11.679332116744831 13.028037764194096 1213.210589597922 745.4509983124523],[204.1497344970703 407.7216796875 516.777587890625 499.25555419921875],0.8233169913291931,29A90101,0.6844475636483089
333,6.0,[-13.51224976727758 15.582959716377502 1194.6884266316222 777.5860770829884],[83.22610473632812 424.169677734375 414.24188232421875 519.8908081054688],0.8197267651557922,29A90101,0.25018390535130197
334,6.0,[-18.300141357902135 13.714086653796414 1181.685583129663 785.9629624064469],[19.975067138671875 432.3841857910156 355.67730712890625 531.461181640625],0.8381683230400085,29A90101,0.6460324627844126
571,137.0,[937.4418800288972 166.52700907309284 1515.4334304907147 590.6619362259844],[1073.6971435546875 430.30206298828125 1225.878662109375 480.4648132324219],0.792912483215332,30A61329,0.4587134532292019
572,137.0,[924.0519980609523 164.8058571895325 1508.989924306728 594.0989700509864],[1061.622802734375 431.8817138671875 1215.1937255859375 483.0347900390625],0.7870876789093018,30A61329,0.23723968336422227
573,137.0,[909.0344164239835 163.08055265795886 1502.1160787905583 597.6807333038361],[1047.99169921875 432.15362548828125 1202.9765625 482.9190673828125],0.7883858680725098,30A61329,0.3653649680976424
579,137.0,[812.8469288450353 153.208304719422 1455.8868001216408 621.3710181056874],[960.80224609375 445.3023681640625 1127.6171875 498.9948425292969],0.760670006275177,30A61329,0.3090043169634201
583,137.0,[747.2534493551148 146.87366921790252 1428.7147655212475 640.958679795463],[898.7706298828125 457.6144714355469 1073.584716796875 513.6963500976562],0.7859491109848022,80A61329,0.49395646601724313
584,137.0,[729.4233765831398 145.0403863891106 1422.1613076426177 646.5891899544199],[883.8458862304688 461.36993408203125 1058.1021728515625 515.50927734375],0.781245768070221,30A61329,0.2542359691001632
587,137.0,[673.3073222177936 142.2473599949352 1400.4189984397258 666.1942710167316],[830.7535400390625 468.76300048828125 1019.4158935546875 529.3222045898438],0.7847328186035156,30A61329,0.19931178993244583
590,137.0,[610.1937504728457 136.68822001746685 1373.105146763068 683.1492253969259],[773.307861328125 480.9797058105469 966.0917358398438 539.4267578125],0.7843335866928101,60A61329,0.053561159290922734
591,137.0,[588.0263711852767 135.29783107902682 1362.7869390480732 689.8451285650333],[752.1348266601562 483.71923828125 949.2815551757812 545.66015625],0.7882782220840454,30A61329,0.28521641761106226
593,137.0,[540.0540452457767 132.0742385311621 1340.6273241228425 703.9914721044892],[706.381591796875 488.721435546875 911.26123046875 554.884033203125],0.789940357208252,30A61329,0.699836402647228
597,137.0,[434.69440431876393 123.38282532817914 1295.9974028912513 733.0826641290337],[607.4664916992188 509.4828186035156 825.0706787109375 577.1285400390625],0.8042513728141785,30A61329,0.565583558133676
599,137.0,[376.53039337744457 121.49866570251976 1271.1507583284108 751.947310470589],[550.980712890625 518.7979125976562 779.60888671875 590.281005859375],0.79908287525177,30A61329,0.40122679146427687
600,137.0,[343.94046488402523 119.26871920241285 1257.2651351573345 761.0102212704904],[522.8212280273438 525.0137329101562 753.8897094726562 596.0951538085938],0.8000136017799377,30A61329,0.33253995457980895
601,137.0,[313.82633400627816 115.20566937474445 1244.4226896485977 768.4155836561342],[491.21392822265625 528.1923828125 727.2095947265625 601.7838134765625],0.8080438375473022,30A61329,0.7717630506232611
603,137.0,[245.8369475352564 108.73011114112086 1215.0275539942477 784.5548498771332],[428.2515563964844 539.0726318359375 672.6449584960938 617.4838256835938],0.8419637680053711,30A61329,0.537459710399548
607,137.0,[76.35901546713592 99.48276859813637 1147.5496975100286 828.1330731082796],[279.42791748046875 562.8923950195312 546.1690063476562 646.1312255859375],0.8261092305183411,30A61329,0.4586456278868157
709,595.0,[313.5897054323859 95.00270313012555 1371.1741839494618 800.6645604646963],[518.1743774414062 555.8943481445312 761.8538818359375 628.6941528320312],0.8086410760879517,30A61458,0.2857818027379016
713,595.0,[84.48338373196714 75.2799262461669 1333.3257196649524 853.6104848900459],[332.3612365722656 583.4757080078125 599.880126953125 663.647705078125],0.8113914728164673,30A61458,0.33517828963260055
714,595.0,[36.47281883400012 71.5169903046808 1327.6978950448524 868.0929725138077],[278.81829833984375 592.919921875 553.1007690429688 675.7064819335938],0.8072505593299866,30A61458,0.36859575956054175
716,595.0,[-26.670041917964568 64.60273975450866 1304.9768562935046 893.3408130489777],[164.11354064941406 610.380615234375 450.9599304199219 694.3478393554688],0.8094546794891357,30A61458,0.4851089680231534
717,595.0,[-37.04721624873844 61.21215857047997 1296.9960219390937 904.826665766537],[102.00782775878906 621.08447265625 399.0178527832031 705.2166748046875],0.8086753487586975,30A61458,0.19246954946616776
